"","Judges","Percent of Prison Sentences Above The Median","Percent of Class 4 Felony Prison Sentences","Severity Metric"
"1","Maura  Slattery Boyle",0.554942528735632,0.656955571740714,0.605949050238173
"2","Joseph Michael Claps",0.588051716451181,0.591685226429102,0.589868471440142
"3","URSULA  WALOWSKI",0.504842615012107,0.670411985018727,0.587627300015417
"4","Diane Gordon Cannon",0.509110396570204,0.665843621399177,0.58747700898469
"5","Jorge Luis Alonso",0.530735930735931,0.623149394347241,0.576942662541586
"6","Kevin M Sheehan",0.472280334728033,0.679962013295347,0.57612117401169
"7","William G Lacy",0.498873366381253,0.645614035087719,0.572243700734486
"8","Alfredo  Maldonado",0.520989505247376,0.623024830699774,0.572007167973575
"9","Matthew E Coghlan",0.535429583702391,0.598200899550225,0.566815241626308
"10","Domenica A Stephenson",0.550888529886914,0.582692307692308,0.566790418789611
"11","Thomas J Hennelly",0.469817501169864,0.656020942408377,0.562919221789121
"12","Angela Munari Petrone",0.526315789473684,0.598540145985402,0.562427967729543
"13","Michael B McHale",0.525205158264947,0.594444444444444,0.559824801354696
"14","James B Linn",0.597879282218597,0.521165225307237,0.559522253762917
"15","Timothy Joseph Joyce",0.516262566528681,0.600961538461538,0.55861205249511
"16","Thaddeus L Wilson",0.555049354593774,0.554210236653825,0.554629795623799
"17","Charles P Burns",0.577676696990903,0.528527200353826,0.553101948672364
"18","Rickey  Jones",0.524113475177305,0.580369843527738,0.552241659352522
"19","Vincent M Gaughan",0.517636684303351,0.583862770012706,0.550749727158029
"20","Mary Margaret Brosnahan",0.444162436548223,0.653846153846154,0.549004295197189
"21","Stanley  Sacks",0.533389687235841,0.563031161473088,0.548210424354465
"22","James Michael Obbish",0.514132925897632,0.577363896848137,0.545748411372885
"23","Erica L Reddick",0.558462796402289,0.527748691099476,0.543105743750883
"24","Araujo, Mauricio",0.521780303030303,0.559080962800875,0.540430632915589
"25","Byrne, Thomas",0.537238493723849,0.538366336633663,0.537802415178756
"26","Michael  Brown",0.596354166666667,0.477678571428571,0.537016369047619
"27","Carol M Howard",0.489565943238731,0.578978622327791,0.534272282783261
"28","William  Raines",0.34704112337011,0.711764705882353,0.529402914626232
"29","Pamela A Leeming",0.418470418470418,0.638576779026217,0.528523598748318
"30","John T Doody",0.556354916067146,0.498817966903073,0.52758644148511
"31","Clayton Jay Crane",0.505322479649343,0.548327137546468,0.526824808597905
"32","Arthur F Hill",0.474988312295465,0.571220930232558,0.523104621264012
"33","Neil J Linehan",0.346136259716507,0.698252688172043,0.522194473944275
"34","Steven J Goebel",0.49727965179543,0.546296296296296,0.521787974045863
"35","Joan Margaret O'Brien",0.45355587808418,0.586377097729516,0.519966487906848
"36","Neera  Walsh",0.475360576923077,0.557570977917981,0.516465777420529
"37","Thomas V Gainer",0.468304668304668,0.562595419847328,0.515450044075998
"38","Kenneth J Wadas",0.457605985037406,0.57213316892725,0.514869576982328
"39","Nicholas R Ford",0.476703645007924,0.547659334461365,0.512181489734644
"40","Carol A Kipperman",0.576047904191617,0.435460992907801,0.505754448549709
"41","Catherine Marie Haberkorn",0.47624371157071,0.527352297592998,0.501798004581854
"42","William H Hooks",0.472617743702081,0.529180327868852,0.500899035785467
"43","William J Kunkle",0.362704918032787,0.631901840490798,0.497303379261792
"44","Lawrence Edward Flood",0.426482873851295,0.565549676660788,0.496016275256041
"45","Dennis J Porter",0.475165562913907,0.508742714404663,0.491954138659285
"46","Michele M Pitman",0.419522326064382,0.563315425940138,0.49141887600226
"47","Sharon M Sullivan",0.467046894803549,0.515360983102919,0.491203938953234
"48","Colleen Ann Hyland",0.399921507064364,0.57667731629393,0.488299411679147
"49","Evelyn B Clay",0.543576500968367,0.432529043789097,0.488052772378732
"50","James N Karahalios",0.377777777777778,0.597701149425287,0.487739463601533
"51","Joseph G Kazmierski",0.384816753926702,0.587730061349693,0.486273407638197
"52","Luciano  Panici",0.489501312335958,0.482474226804124,0.485987769570041
"53","Gregory Robert Ginex",0.541808873720137,0.429868819374369,0.485838846547253
"54","Brian K Flaherty",0.491525423728814,0.479377958079784,0.485451690904299
"55","Anna Helen Demacopoulos",0.488919667590028,0.480885311871227,0.484902489730628
"56","ELLEN  MANDELTORT",0.456558773424191,0.508,0.482279386712095
"57","Jeffrey L Warnick",0.522788203753351,0.436507936507937,0.479648070130644
"58","Mary C Roberts",0.443983402489627,0.512935883014623,0.478459642752125
"59","Geary W Kull",0.386118598382749,0.56677796327212,0.476448280827435
"60","Noreen Valeria Love",0.535714285714286,0.412551440329218,0.474132863021752
"61","William T O'Brien",0.442910915934755,0.504891304347826,0.473901110141291
"62","Garritt E Howard",0.517094017094017,0.422310756972112,0.469702387033064
"63","Paula M Daleo",0.458020989505247,0.4661095636026,0.462065276553924
"64","Shelley  Sutker-Dermer",0.410590277777778,0.501941747572816,0.456266012675297
"65","Frank G Zelezinski",0.468243243243243,0.433189655172414,0.450716449207828
"66","Ramon  Ocasio",0.438636363636364,0.458563535911602,0.448599949773983
"67","Earl B Hoffenberg",0.407325194228635,0.48728813559322,0.447306664910928
"68","Timothy J Chambers",0.457181389076197,0.436258278145695,0.446719833610946
"69","Thomas M Davy",0.414893617021277,0.473650385604113,0.444272001312695
"70","Kerry M Kennedy",0.352494577006508,0.533742331288344,0.443118454147426
"71","Lauren Gottainer Edidin",0.388719512195122,0.497076023391813,0.442897767793467
"72","John Joseph Hynes",0.39068369646882,0.494152046783626,0.442417871626223
"73","Geraldine A D'Souza",0.405714285714286,0.471631205673759,0.438672745694022
"74","Allen F Murphy",0.421768707482993,0.450676982591876,0.436222845037435
"75","Steven G Watkins",0.366541353383459,0.495711835334477,0.431126594358968
"76","Thomas P Fecarotta",0.379482071713147,0.477428180574555,0.428455126143851
"77","Michael  Kane",0.338753387533875,0.517460317460318,0.428106852497096
"78","Rosemary Grant Higgins",0.443071491615181,0.398783666377063,0.420927578996122
"79","Marc W Martin",0.41025641025641,0.423799582463466,0.417027996359938
"80","James L Rhodes",0.41399416909621,0.409420289855072,0.411707229475641
"81","Larry G Axelrood",0.371019108280255,0.444444444444444,0.40773177636235
"82","Michael J Howlett",0.392491467576792,0.416342412451362,0.404416940014077
"83","Kay M Hanlon",0.359454855195911,0.448405253283302,0.403930054239607
"84","Bridget Jane Hughes",0.337620578778135,0.439144736842105,0.38838265781012
"85","Carl B Boyd",0.34018691588785,0.407035175879397,0.373611045883624
"86","Thomas M Tucker",0.406679764243615,0.318181818181818,0.362430791212717
"87","Darron Edward Bowden",0.413461538461538,0.308641975308642,0.36105175688509
"88","Joseph  Cataldo",0.336106489184692,0.357894736842105,0.347000613013399
"89","Raymond  Myles",0.380520951302378,0.306415094339623,0.343468022821
"90","Jill  Cerone-Marisie",0.327433628318584,0.245283018867925,0.286358323593254
